Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions,4087,7,37000.0,41740.74244748349,377.33216599917796,90749.3606249991,1200.6647908000978,1.135725642940131,0.0019452115244876233,37000,63000,66000,68000,72000,76000,80000,82000,89000,91000,91000
,Aggregated,4087,7,37000.0,41740.74244748349,377.33216599917796,90749.3606249991,1200.6647908000978,1.135725642940131,0.0019452115244876233,37000,63000,66000,68000,72000,76000,80000,82000,89000,91000,91000
