Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions,13522,9,25000.0,24450.407200280868,344.73637500195764,44767.406667000614,1179.303209584381,3.7590967257798216,0.002501987171425706,25000,26000,28000,29000,30000,30000,30000,31000,32000,45000,45000
,Aggregated,13522,9,25000.0,24450.407200280868,344.73637500195764,44767.406667000614,1179.303209584381,3.7590967257798216,0.002501987171425706,25000,26000,28000,29000,30000,30000,30000,31000,32000,45000,45000
